MH 0000|'Chapter 1 History'
MH 0001|'Here is the first set of 30 Level 1 MCQs for Chapter 1 (Sources for the History of Modern India). These are strictly derived from the text of the PDF,'
MH 0002|'🏛️ Chapter 1: Sources for the History of Modern India'
MH 0003|'🎯 LEVEL 1: Book-Strict Knowledge (Questions 1 - 30)'
MH 0004|'Q1. Which material is given the utmost priority in constructing the history of modern India? (a) Creative Literature (b) Archives (c) Oral Evidence (d'
MH 0005|'* Answer: (b) Archives'
MH 0006|'Q2. The records of the East India Company provide a detailed account of trading conditions during which specific period? (a) 1600–1757 (b) 1600–1857 ('
MH 0007|'* Answer: (b) 1600–1857'
MH 0008|'Q3. Official records in India are broadly classified into how many categories? (a) Three (Central, State, Judicial) (b) Four (Central, State, Intermed'
MH 0009|'* Answer: (b) Four (Central, State, Intermediate, Judicial)'
MH 0010|'Q4. Where are the archives of the Government of India mostly housed? (a) National Museum, New Delhi (b) National Archives of India, New Delhi (c) Asia'
MH 0011|'* Answer: (b) National Archives of India, New Delhi'
MH 0012|'Q5. Who was appointed as the first Surveyor General of Bengal, and in what year? (a) James Rennell, 1767 (b) William Jones, 1784 (c) James Prinsep, 18'
MH 0013|'* Answer: (a) James Rennell, 1767'
MH 0014|'Q6. To deal with political and communal issues exclusively, which new series of records was started in 1907? (a) Home Public (b) Home Reforms (c) Home'
MH 0015|'* Answer: (c) Home Political'
MH 0016|'Q7. The records of the Reforms Office are highly useful for the analytical study of constitutional developments during which period? (a) 1909–1919 (b)'
MH 0017|'* Answer: (b) 1920–1937'
MH 0018|'Q8. The Khalsa Darbar records, housed in Lahore, pertain to which period? (a) 1700–1750 (b) 1800–1849 (c) 1849–1900 (d) 1750–1800'
MH 0019|'* Answer: (b) 1800–1849'
MH 0020|'Q9. Where is the Peshwa Daftar, a valuable source for Maratha history, housed? (a) National Archives, New Delhi (b) Alienation Office, Pune (c) State '
MH 0021|'* Answer: (b) Alienation Office, Pune'
MH 0022|'Q10. The Rajasthan State Archives are located in which city? (a) Jaipur (b) Jodhpur (c) Bikaner (d) Udaipur'
MH 0023|'* Answer: (c) Bikaner'
MH 0024|'Q11. The historical records of the Dogra rule (from 1846 onwards) are housed where? (a) Srinagar (b) Jammu (c) Shimla (d) Lahore'
MH 0025|'* Answer: (b) Jammu'
MH 0026|'Q12. In which year were the early records of Fort Williams lost during the sack of Calcutta? (a) 1756 (b) 1757 (c) 1764 (d) 1793'
MH 0027|'* Answer: (a) 1756'
MH 0028|'Q13. The Madras Presidency records, which survived intact, begin from which year? (a) AD 1600 (b) AD 1639 (c) AD 1670 (d) AD 1700'
MH 0029|'* Answer: (c) AD 1670'
MH 0030|'Q14. The archives of the Bombay Presidency are primarily housed in which institution? (a) Asiatic Society of Bombay (b) Maharashtra Secretariat Record'
MH 0031|'* Answer: (b) Maharashtra Secretariat Record Office, Mumbai'
MH 0032|'Q15. The Portuguese archives preserved in Goa primarily belong to which period? (a) 1500–1700 (b) 1600–1800 (c) 1700–1900 (d) 1800–1961'
MH 0033|'* Answer: (c) 1700–1900'
MH 0034|'Q16. The Dutch records regarding Cochin and Malabar are located in which record office? (a) State Archives of West Bengal (b) Madras Record Office (c)'
MH 0035|'* Answer: (b) Madras Record Office'
MH 0036|"Q17. To which city were the French archives of Chandernagore and Pondicherry taken before India's independence? (a) London (b) Lisbon (c) Paris (d) Am"
MH 0037|'* Answer: (c) Paris'
MH 0038|'Q18. In which year were the Danish possessions of Tranquebar and Serampore sold to the English East India Company? (a) 1800 (b) 1845 (c) 1857 (d) 1793'
MH 0039|'* Answer: (b) 1845'
MH 0040|'Q19. The earliest available judicial archives pertain to which court? (a) Supreme Court of Bengal (b) Mayor’s Court at Fort St. George (c) Mayor’s Cou'
MH 0041|'* Answer: (b) Mayor’s Court at Fort St. George (beginning AD 1689)'
MH 0042|'Q20. What is the status of the pre-Plassey records of the Mayor’s Court at Fort Williams? (a) Housed in London (b) Housed in New Delhi (c) They have b'
MH 0043|'* Answer: (c) They have been lost'
MH 0044|'Q21. The archives of the Supreme Court of Bengal cover which period? (a) 1773–1857 (b) 1774–1861 (c) 1757–1858 (d) 1861–1947'
MH 0045|'* Answer: (b) 1774–1861'
MH 0046|'Q22. Where are the papers of the Indian National Congress primarily housed? (a) National Archives of India (b) Parliament Library (c) Nehru Memorial M'
MH 0047|'* Answer: (c) Nehru Memorial Museum and Library, New Delhi'
MH 0048|"Q23. The 'India Office Records' are an important archival group housed in which city? (a) New Delhi (b) London (c) Paris (d) Kolkata"
MH 0049|'* Answer: (b) London'
MH 0050|'Q24. Who wrote the book Hindu Manners and Customs, which provides useful information on the socio-economic life of Indians? (a) Bishop Heber (b) Abbe '
MH 0051|'* Answer: (b) Abbe Dubois'
MH 0052|'Q25. Narrative of a Visit to the Court of Sinde was written by whom? (a) Alexander Burnes (b) James Burnes (c) John Butler (d) W.H. Sleeman'
MH 0053|'* Answer: (b) James Burnes'
MH 0054|'Q26. Who made the first unsuccessful attempt to start a newspaper in India in 1776? (a) James Augustus Hickey (b) William Bolts (c) J.S. Buckingham (d'
MH 0055|'* Answer: (b) William Bolts'
MH 0056|'Q27. What was the name of the first newspaper published in India in 1780? (a) The Calcutta Gazette (b) The Madras Courier (c) The Bengal Gazette (d) T'
MH 0057|'* Answer: (c) The Bengal Gazette (or Calcutta General Advertiser)'
MH 0058|"Q28. The famous novel Anandamath (1882), which features the lyric 'Vandemataram', was written by whom? (a) Rabindranath Tagore (b) Bankim Chandra Chat"
MH 0059|'* Answer: (b) Bankim Chandra Chatterjee'
