Ch1 | Topic: Sources of Modern History | Q: No Question Found
Ch2 | Topic: Colonial Approach | Q: Which of the following statements best describes the 
Ch3 | Topic: The Portuguese | Q: Who among the following Portuguese Viceroys is associated wi
Ch4 | Topic: Foreign Invasions (Nadir Shah/Abdali) | Q: No Question Found
Ch5 | Topic: British Expansion Policies (Ring Fence, Subsidiary, Lapse) | Q: No Question Found
Ch6 | Topic: No Subtopic Found | Q: The 
Ch7 | Topic: No Subtopic Found | Q: The Revolt of 1857 formally began on May 10, 1857, at which 
Ch8 | Topic: No Subtopic Found | Q: The process of reawakening in 19th-century India is sometime
Ch9 | Topic: No Subtopic Found | Q: Which of the following is considered the primary reason for 
Ch10 | Topic: No Subtopic Found | Q: Which of the following is considered the primary reason for 
Ch11 | Topic: No Subtopic Found | Q: The formal proclamation of the Swadeshi Movement was made on
Ch12 | Topic: No Subtopic Found | Q: No Question Found
Ch13 | Topic: No Subtopic Found | Q: No Question Found
Ch14 | Topic: No Subtopic Found | Q: No Question Found
Ch15 | Topic: No Subtopic Found | Q: No Question Found
Ch16 | Topic: No Subtopic Found | Q: No Question Found
Ch17 | Topic: No Subtopic Found | Q: No Question Found
Ch18 | Topic: No Subtopic Found | Q: No Question Found
Ch19 | Topic: No Subtopic Found | Q: No Question Found
Ch20 | Topic: No Subtopic Found | Q: No Question Found
Ch21 | Topic: No Subtopic Found | Q: No Question Found
Ch22 | Topic: No Subtopic Found | Q: No Question Found
Ch23 | Topic: No Subtopic Found | Q: No Question Found
Ch24 | Topic: No Subtopic Found | Q: No Question Found
Ch25 | Topic: No Subtopic Found | Q: No Question Found
Ch26 | Topic: No Subtopic Found | Q: No Question Found
Ch27 | Topic: No Subtopic Found | Q: No Question Found
Ch28 | Topic: No Subtopic Found | Q: No Question Found
Ch29 | Topic: No Subtopic Found | Q: No Question Found
Ch30 | Topic: No Subtopic Found | Q: No Question Found
Ch31 | Topic: No Subtopic Found | Q: No Question Found
Ch32 | Topic: No Subtopic Found | Q: No Question Found
Ch33 | Topic: No Subtopic Found | Q: No Question Found
Ch34 | Topic: No Subtopic Found | Q: No Question Found
Ch35 | Topic: No Subtopic Found | Q: No Question Found
Ch36 | Topic: Foundations of Indian Foreign Policy | Q: The 
Ch37 | Topic: The Challenge of Universal Adult Franchise | Q: The first general elections in India were held between:
Ch38 | Topic: Nehru | Q: The 
Ch39 | Topic: The Challenge of Succession:  | Q: Who was the 
